"from","to","weight"
"Evangelos_E._Papalexakis","Joyce_C._Ho",1
"Evangelos_E._Papalexakis","Jimeng_Sun",2
"Elizabeth_Searles","Joyce_C._Ho",1
"Elizabeth_Searles","Jimeng_Sun",1
"Joyce_C._Ho","Jimeng_Sun",1
"Konstantina_Bereta","Manolis_Koubarakis",3
"Konstantina_Bereta","Stefan_Manegold",1
"Konstantina_Bereta","George_Stamoulis",2
"Konstantina_Bereta","Begüm_Demir",1
"Manolis_Koubarakis","Stefan_Manegold",1
"Manolis_Koubarakis","George_Stamoulis",2
"Manolis_Koubarakis","Begüm_Demir",1
"Stefan_Manegold","George_Stamoulis",1
"Stefan_Manegold","Begüm_Demir",1
"George_Stamoulis","Begüm_Demir",1
"Çigdem_Aslay","Muhammad_Anis_Uddin_Nasir",1
"Çigdem_Aslay","Gianmarco_De_Francisci_Morales",1
"Çigdem_Aslay","Aristides_Gionis",1
"Muhammad_Anis_Uddin_Nasir","Gianmarco_De_Francisci_Morales",1
"Muhammad_Anis_Uddin_Nasir","Aristides_Gionis",1
"Gianmarco_De_Francisci_Morales","Aristides_Gionis",2
"Vachik_S._Dave","Baichuan_Zhang",1
"Vachik_S._Dave","Mohammad_Al_Hasan",1
"Vachik_S._Dave","Khalifeh_AlJadda",1
"Vachik_S._Dave","Mohammed_Korayem",1
"Baichuan_Zhang","Mohammad_Al_Hasan",1
"Baichuan_Zhang","Khalifeh_AlJadda",1
"Baichuan_Zhang","Mohammed_Korayem",1
"Mohammad_Al_Hasan","Khalifeh_AlJadda",1
"Mohammad_Al_Hasan","Mohammed_Korayem",1
"Khalifeh_AlJadda","Mohammed_Korayem",1
"Sahin_Cem_Geyik","Vijay_Dialani",1
"Sahin_Cem_Geyik","Meng_Meng",1
"Sahin_Cem_Geyik","Ryan_Smith",1
"Vijay_Dialani","Meng_Meng",1
"Vijay_Dialani","Ryan_Smith",1
"Meng_Meng","Ryan_Smith",1
"Paolo_Ciaccia","Davide_Martinenghi",1
"Varvara_Kalokyri","Alexander_Borgida",1
"Varvara_Kalokyri","Amélie_Marian",1
"Alexander_Borgida","Amélie_Marian",1
"Prayag_Tiwari","Massimo_Melucci",1
"Lucio_F._D._Santos","Gustavo_Blanco",1
